S.No,Name of Table,Column Names,,Member,Measure ,Root,Other Measures,Missing range,URL
1,List of largest California cities by land area,"Rank, City, Land Area, Cum Area, Total Area, Population, Poulation Density",,City,Land Area,cities,"Cum Area, Total Area, Population, Population Density",NO,https://en.wikipedia.org/wiki/List_of_largest_California_cities_by_land_area
2,List of the 100 largest cities and towns in Canada by area,"Rank, Municipality, Province ,Status , Area ",,Municipality,Area,cities,Province,NO,https://en.wikipedia.org/wiki/List_of_the_100_largest_cities_and_towns_in_Canada_by_area
3,List of city squares by size,"City Square, City, Country, Area, Dimensions; Notes, Year Completed, Photo",,City Square,Area,squares,,YES,https://en.wikipedia.org/wiki/List_of_city_squares_by_size
4,List of countries and dependencies by area,"Rank, Sovereign State/ dependency, Total in km, water in km, water",,Sovereign State/ dependency,Total in km,countries,,YES,https://en.wikipedia.org/wiki/List_of_countries_and_dependencies_by_area
5,List of countries and territories by border/area ratio,"Rank, Country or Territory, Total length of land borders (km), Total surface area, Border/ area ratio",,Country or Teritory,Border/ area ratio,countries,,NO,https://en.wikipedia.org/wiki/List_of_countries_and_territories_by_border/area_ratio
6,List of countries by irrigated land area,"Rank, Country/ Region, Irrigated Land, Date of information",,Country/ Region,Irrigated Land,countries,,NO,https://en.wikipedia.org/wiki/List_of_countries_by_irrigated_land_area
7,List of largest empires,"Empire, Maximum Land Area",,Empire,Maximum Land Area,empires,,NO,https://en.wikipedia.org/wiki/List_of_largest_empires
8,List of largest empires in India,"Empire, Approximate Maximum Extent, Size as
percentage of area of Republic of India, Approximate date of maximum extent, Estimate by",,Empire,Approximate Maximum Extent,empires,,NO,https://en.wikipedia.org/wiki/List_of_largest_empires_in_India
9,List of European countries by area,"Rank, State, Total area (km2),Notes",,State,Total area (km2),countries,,NO,https://en.wikipedia.org/wiki/List_of_European_countries_by_area
10,List of cities in India by area,"
Rank, City, State / UT, Area (km2), Area governed by, Ref",,City,Area,cities,,NO,https://en.wikipedia.org/wiki/List_of_cities_in_India_by_area
11,List of United States cities by area,"Rank, City, State, Land area (sq mi), Land area (km2), Water area (sq mi), Water area (km2), Total area (sq mi), Total area (km2), Population (2010) 
",,City,Land Area,cities,"Water area, Total area, Population",NO,https://en.wikipedia.org/wiki/List_of_United_States_cities_by_area
12,List of Oceanian countries by area,"Rank', 'Country', 'Area (kmÂ²)', 'Notes'",,Country,Area,countries,,NO,https://en.wikipedia.org/wiki/List_of_Oceanian_countries_by_area
13,List of largest cities by area,"Name ofmetro area', 'Country', 'Total area(km2)', 'Land area(km2)',
       'Water area(km2)', 'Urban area(km2)', 'Rural area(km2)',
       'Metropolitan area(km2)', 'Population'",,Country,Total Area,cities,"Land area, Water area, Urban area, Rural area, Metropolitan area, Population",NO,https://en.wikipedia.org/wiki/List_of_largest_cities_by_area
14,List of U.S. states and territories by area,"State, Rank, Total area, Land area, Water",,State,Total area,states,"Land area, Water ",NO,https://en.wikipedia.org/wiki/List_of_U.S._states_and_territories_by_area
15,List of largest Internet companies,"Rank', 'Company', 'Revenue ($B)', 'F.Y.', 'Employees',
       'Market cap. ($B)', 'Headquarters', 'Founded', 'Refs'",,Company,Revenue,companies,"Employees, Market capital",NO,https://en.wikipedia.org/wiki/List_of_largest_Internet_companies
16,List of most-streamed songs on Spotify,"Rank', 'Song', 'Artist(s)', 'Album', 'Streams(millions)',
       'Date published'",,Song,Streams,songs,Album,NO,https://en.wikipedia.org/wiki/List_of_most-streamed_songs_on_Spotify
17,List of most-liked tweets,"Rank', 'Tweet', 'Posted by', 'Likes (millions)', 'Date', 'Context'",,Tweet,Likes,tweets,"
",NO,https://en.wikipedia.org/wiki/List_of_most-liked_tweets
18,List of most-retweeted tweets,"Rank', 'Tweet', 'Posted by', 'Retweets (millions)', 'Date', 'Context',
       'Likes (millions)'",,Tweet,Retweets,tweets,Likes,NO,https://en.wikipedia.org/wiki/List_of_most-retweeted_tweets
19,List of most popular websites,"Site', 'Domain', 'Alexa top 50 global sites(As of April 16, 2020[3]',
       'SimilarWeb top 50 sites(As of July 2019)[4]', 'Type',
       'Principal country/territory'",,Site,Alexa top 50 global sites,websites,SimilarWeb top 50 sites,NO,https://en.wikipedia.org/wiki/List_of_most_popular_websites
