S.No,Name of Table,Member,Measure ,superlatives,Root,
1,List of largest California cities by land area,City,Land Area,largest,City,
2,List of the 100 largest cities and towns in Canada by area,Municipality,Area,largest,Municipality,
3,List of city squares by size,City Square,Area,largest,City Square,
4,List of countries and dependencies by area,Sovereign State/ dependency,Total in km,largest,country,
5,List of countries and territories by border/area ratio,Country or Teritory,Border/ area ratio,largest,country,
6,List of countries by irrigated land area,Country/ Region,Irrigated Land,largest,country,
7,List of largest empires,Empire,Maximum Land Area,largest,Empire,
8,List of largest empires in India,Empire,Approximate Maximum Extent,largest,Empire,
9,List of European countries by area,State,Total area (km2),largest,State,
10,List of cities in India by area,City,Area,largest,City,
11,List of United States cities by area,CIty,Land Area,largest,CIty,
12,List of Oceanian countries by area,Country,Area,largest,Country,
13,List of largest cities by area,Country,Total Area,largest,Country,
14,List of U.S. states and territories by area,State,Total area,largest,State,
15,List of islands by area,Island,Area,largest,Island,
16,List of largest Internet companies,Company,Revenue,largest,Company,
17,List of most-streamed songs on Spotify,Song,Streams,most streamed,Song,
18,List of most-liked tweets,Tweet,Likes,most liked,Tweet,
19,List of most-retweeted tweets,Tweet,Retweets,most retweeted,Tweet,
20,List of most popular websites,Site,Alexa top 50 global sites,most popular,Site,
21,List of most-liked Instagram posts,Post Description,Likes,most liked,post,
22,List of most-followed Facebook pages,Account name,Followers,most followed,page,
23,List of most-liked YouTube videos,Video name,Likes,most liked,video,
24,List of most-disliked YouTube videos,Video name,Dislikes,most disliked,video,
25,List of most-viewed YouTube videos,Video name,Views,most viewed,video,
26,List of most-subscribed YouTube channels,Channel,Subscribers,most subscribed,Channel,
27,List of most-followed Twitter accounts,Owner,Followers,most followed,Twitter account,
28,List of most-followed Instagram accounts,Owner,Followers,most followed,Instagram account,
29,List of most expensive domain names,Domain,Price,most expensive,Domain,
30,List of largest cruise ships,Ship name,Lengthoverall,largest,Ship name,
32,List of oldest cats,Name,Reported age,oldest,Name,
33,List of largest LGBT events,City,Organizers' statistics',largest,City,
34,Largest fungal fruit bodies,Species and family,Dimensions,largest,species,
35,List of largest cities in the Arab world,City,Population,largest,City,
37,List of largest seeds,Seed,Length in inches,largest,Seed,
38,List of largest cities in Pakistan,City,Population2017 Census,largest,City,
39,List of oldest trees,Name,Age,oldest,Name,
40,List of the oldest newspapers,Newspaper,Date,oldest,Newspaper,
41,List of elevation extremes by region,Country or region,Elevation span,extreme,Country,
42,List of the largest villages in England,Village,Area,largest,Village,
